feature,importance_mean,importance_std,baseline_rmse
discharge_duration_s_rstd_20,-0.008195476344871722,0.009074517385245643,12.988406052596096
capacity_ah_rmean_5,-0.00900018924098056,0.0437370124541255,12.988406052596096
discharge_duration_s_rrange_20,-0.010216511551377039,0.004525510937488518,12.988406052596096
discharge_duration_s_lag_3,-0.012572036658824004,0.028074773429142875,12.988406052596096
charge_duration_s_rmin_20,-0.01325221878664351,0.008487304736453984,12.988406052596096
soh_slope_20,-0.014650585365032498,0.017508039845109957,12.988406052596096
soh_cummean,-0.016144057216601837,0.010187786223351402,12.988406052596096
discharge_duration_s_lag_5,-0.016866376861218058,0.024425383176801502,12.988406052596096
energy_throughput_wh_rmax_20,-0.01911819403725623,0.020011647844179706,12.988406052596096
discharge_duration_s_lag_2,-0.020567817965721602,0.021997014322879625,12.988406052596096
charge_duration_s_cummax,-0.026456104634513977,0.014513644182964455,12.988406052596096
discharge_duration_s_rmax_5,-0.03080945304038707,0.03244371862800714,12.988406052596096
discharge_duration_s_lag_1,-0.031030231711683953,0.031176622374623618,12.988406052596096
current_mean_a_rmin_20,-0.036536941627399955,0.0392422787930839,12.988406052596096
temperature_max_c_rrange_20,-0.050650005805138676,0.018847648961740095,12.988406052596096
charge_duration_s_cummean,-0.0683733294464357,0.012056674575806127,12.988406052596096
voltage_min_v_rrange_10,-0.07427793172898767,0.020735392447166143,12.988406052596096
discharge_duration_s_cummean,-0.0772760487807318,0.018859484438392055,12.988406052596096
capacity_ah_rrange_20,-0.13710100284185422,0.06444925747955826,12.988406052596096
charge_duration_s_rrange_20,-0.4357087071756993,0.08112079949976943,12.988406052596096
charge_duration_s_slope_20,-0.515257459425202,0.30303841653175917,12.988406052596096
